CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"73,896","19,888","12,69,299",36.45,2.85,-6.10,325,2.85,2.95,845,"26,400.00",130,"1,661.80","1,675.55",130,639.70,"1,688.30",81.96,347,13,411,
,"21,029","2,772","5,14,366",37.25,2.75,-5.15,"1,690",2.65,2.80,910,"26,450.00",65,"1,670.95","1,764.40",390,497.75,"1,607.00",-,69,7,32,
,"2,95,225","1,35,340","24,73,223",38.13,2.70,-4.40,"1,950",2.60,2.70,650,"26,500.00",65,"1,765.70","1,772.85",130,604.90,"1,766.70",80.25,"10,811","1,408","3,856",
,"13,310","-5,428","4,26,276",38.40,2.35,-3.90,715,2.35,2.45,65,"26,550.00",65,"1,772.55","1,869.70",390,508.80,"1,787.05",74.21,131,19,32,
,"61,539","8,917","9,00,487",39.02,2.20,-3.25,195,2.20,2.30,130,"26,600.00",130,"1,861.40","1,878.35",130,615.40,"1,887.25",88.24,127,14,218,
,"16,325","7,679","3,32,847",39.61,2.05,-2.75,845,2.10,2.15,65,"26,650.00",390,"1,857.65","1,975.25",130,75.50,"1,405.95",-,5,-,13,
,"72,554","15,605","9,50,525",40.53,2.05,-2.30,"6,370",2.00,2.05,130,"26,700.00",65,"1,959.00","1,976.80",65,576.50,"1,932.85",77.41,134,17,105,
,"15,332","5,341","2,91,981",41.07,1.90,-1.85,"2,015",1.90,1.95,"1,690","26,750.00",130,"1,965.30","2,079.30",130,276.05,"1,689.25",-,5,-,54,
,"56,449","6,920","7,39,675",41.44,1.70,-1.55,975,1.70,1.80,195,"26,800.00",65,"2,058.40","2,074.55",130,554.65,"2,085.60",94.17,181,24,149,
,"18,872","5,720","2,25,070",41.73,1.50,-1.35,"7,345",1.50,1.70,910,"26,850.00",390,"2,064.55","2,175.55",390,-,-,31.46,-,-,30,
,"37,035","6,358","4,88,437",42.92,1.60,-1.00,"1,105",1.50,1.60,845,"26,900.00",130,"2,126.05","2,257.50","1,690",22.55,"1,611.60",-,3,-,19,
,"19,821","3,033","2,62,512",43.32,1.45,-1.05,"19,175",1.45,1.55,"2,015","26,950.00",65,"2,169.45","2,286.55",130,-101.55,"1,509.00",-,15,1,17,
,"2,19,812","66,540","17,84,556",44.19,1.45,-0.90,520,1.40,1.50,"2,795","27,000.00",65,"2,259.40","2,275.30",390,600.55,"2,272.45",97.01,"4,827",694,"2,958",
,"20,790","8,299","1,76,107",44.52,1.30,-0.70,845,1.25,1.35,845,"27,050.00",390,"2,267.10","2,412.90","1,690",77.90,"1,790.00",-,1,-,9,
,"20,052","1,532","3,08,166",45.74,1.40,-0.50,65,1.30,1.40,845,"27,100.00",130,"2,229.80","2,456.75","1,690",384.35,"2,014.40",-,24,-3,61,
,"5,769","1,308","1,44,139",46.41,1.35,-0.40,"3,120",1.35,1.40,"2,145","27,150.00","1,690","1,948.45","2,505.55","1,690",-51.00,"1,787.05",-,5,-,9,
,"16,447",-644,"2,28,616",46.87,1.25,-0.45,"1,235",1.20,1.35,910,"27,200.00",130,"2,418.75","2,516.25",390,208.75,"2,118.55",-,20,6,74,
,"6,344","1,731","1,23,177",47.30,1.15,-0.40,845,1.25,1.35,910,"27,250.00",390,"2,465.35","2,571.00",390,-,-,36.34,-,-,3,
,"11,841","-1,637","2,02,149",48.55,1.25,-0.25,325,1.25,1.35,"3,185","27,300.00",390,"2,507.80","2,634.40",130,-147.25,"1,868.25",-,3,-,4,
,"4,416","1,043","88,277",48.96,1.15,-0.35,"7,540",1.15,1.30,910,"27,350.00",780,"2,556.30","2,702.50",130,-,-,-,-,-,6,
,"9,545","3,311","1,65,459",50.01,1.20,-0.25,845,1.20,1.30,"1,560","27,400.00",390,"2,603.95","2,732.65",130,-,-,-,-,-,6,
,"3,730","1,875","89,777",50.61,1.15,-0.30,260,1.15,1.20,"1,235","27,450.00",130,"2,641.05","2,803.30","1,690",-,-,59.85,-,-,6,
,"63,389","7,906","5,83,627",51.43,1.15,-0.25,"1,10,110",1.15,1.20,"12,155","27,500.00",390,"2,714.65","2,778.35",65,660.00,"2,790.00",116.23,98,-29,152,
,"4,284",-22,"95,179",52.01,1.10,-0.25,"1,755",1.05,1.20,"2,600","27,550.00",130,"2,762.05","2,885.80",130,-,-,-,-,-,3,
,"13,053","1,511","1,08,236",53.06,1.15,-0.20,845,1.10,1.20,65,"27,600.00",390,"2,803.40","2,922.25",390,-,-,-,-,-,3,
,"4,365",307,"68,896",53.63,1.10,-0.20,65,1.10,1.15,"3,055","27,650.00",390,"2,859.25","2,970.50",390,-,-,-,-,-,5,
,"11,867","1,263","1,17,061",54.68,1.15,-0.15,"3,055",1.10,1.20,910,"27,700.00",390,"2,916.10","3,065.20","1,690",-,-,47.87,-,-,8,
,"4,121","1,217","65,031",54.98,1.05,-0.20,"13,585",1.00,1.15,845,"27,750.00",130,"2,682.10","3,073.85",390,-,-,-,-,-,4,
,"13,351",558,"98,417",56.29,1.15,-0.10,845,1.10,1.15,65,"27,800.00",390,"3,015.95","3,118.25",390,211.00,"2,710.00",-,2,-,5,
,"3,534",193,"70,565",56.30,1.00,-0.15,845,1.00,1.10,"1,755","27,850.00",65,"3,095.35","3,169.50",65,720.15,"3,104.20",115.72,17,2,8,
,"11,543",-115,"90,189",57.37,1.05,-0.10,"3,380",1.05,1.10,455,"27,900.00","1,690","2,794.70","3,328.70","1,690",-102.50,"2,550.05",-,1,-,8,
,"3,527",220,"63,533",58.16,1.05,-0.10,"1,300",1.05,1.10,65,"27,950.00","1,690","2,861.85","3,297.70",130,-,-,63.77,-,-,6,
,"54,448",-402,"3,44,587",59.22,1.10,-0.05,"1,235",1.10,1.15,"2,145","28,000.00",65,"3,259.05","3,283.75",65,612.20,"3,264.70",122.97,734,-250,"1,267",
,"5,590",836,"82,396",59.73,1.05,-0.05,"1,625",1.00,1.15,845,"28,050.00",390,"3,251.90","3,370.90",390,-,-,-,-,-,2,
,"42,516","21,239","3,08,766",60.51,1.05,-0.05,"12,610",1.05,1.10,"20,215","28,100.00",390,"3,306.95","3,426.35",390,-,-,-,-,-,6,
